index,source,edge,target,edge-comments
1,Jim Carrey,exposes truth about,vaccine dangers,
2,mainstream media,champions,SB 277,
3,mainstream media,attempts to drown out objections to,SB 277,"While the mainstream media champions the cause and attempts to drown out the objections of the law's opponents, many people are also fighting back"
4,SB 277,is,controversial,
5,Jim Carrey,has been especially outspoken about ,SB 277,
6,Jim Carrey,has been drawing much attention for his blatant dissent of,SB 277,
7,Jim Carrey,shed light on,vaccine corruption of CDC,
8,CDC,involved with,vaccine corruption,
9,Jim Carrey,shed light on,trace amounts of thimerosal,
10,trace amounts of thimerosal,is dangerous in,vaccines,
11,Jim Carrey,claims to be,pro-vaccine,
12,Kennedy,claims to be,pro-vaccine,
13,Jim Carrey,is disgusted by the widespread use of,neurotoxins in vaccines,
14,Kennedy,is disgusted by the widespread use of,neurotoxins in vaccines,
15,neurotoxins,are used in,vaccines,
16,California government,Jim Carrey tweeted,poisoning children,"Jim Carrey called the governor of California a fascist for signing the bill into law, tweeting, California Gov says yes to poisoning more children with mercury and aluminum in mandatory vaccines."
17,poisoning children,with mercury and aluminum in,mandatory vaccines,
18,governor of California,Jim Carrey called a,fascist,
19,California government,says yes to poisoning more children with mercury and aluminum in,mandatory vaccines,
20,mandatory vaccines,poison,children,
21,mandatory vaccines,poison children with,mercury,
22,mandatory vaccines,poison children with,aluminum,
